20090102,9400
20090105,9520
20090106,9960
20090107,10480
20090108,10160
20090109,9860
20090112,9790
20090113,9830
20090114,9790
20090115,9190
20090116,9380
20090119,9500
20090120,9280
20090121,8970
20090122,9220
20090123,8840
20090128,9770
20090129,9970
20090130,9760
20090202,9470
20090203,9800
20090204,10360
20090205,10420
20090206,10900
20090209,10540
20090210,10400
20090211,10260
20090212,10400
20090213,10220
20090216,10080
20090217,9810
20090218,9560
20090219,9610
20090220,9350
20090223,9700
20090224,9350
20090225,9560
20090226,9540
20090227,9540
20090302,9240
20090303,9510
20090304,9780
20090305,10060
20090306,10060
20090309,10300
20090310,10080
20090311,10500
20090312,10720
20090313,10560
20090316,10460
20090317,10680
20090318,10800
20090319,10820
20090320,10840
20090323,10980
20090324,11180
20090325,11120
20090326,11400
20090327,11680
20090330,11340
20090331,11360
20090401,11400
20090402,11820
20090403,11860
20090406,11880
20090407,11680
20090408,11140
20090409,11600
20090410,12060
20090413,11660
20090414,11500
20090415,11700
20090416,11620
20090417,11940
20090420,11840
20090421,11820
20090422,12180
20090423,12540
20090424,11840
20090427,11700
20090428,11500
20090429,11720
20090430,11840
20090504,11640
20090506,11300
20090507,11320
20090508,11380
20090511,11260
20090512,11220
20090513,11200
20090514,11040
20090515,11100
20090518,11120
20090519,11400
20090520,11520
20090521,11260
20090522,11000
20090525,10900
20090526,10760
20090527,10700
20090528,11180
20090529,11160
20090601,11160
20090602,11120
20090603,11040
20090604,11100
20090605,11380
20090608,11500
20090609,11300
20090610,11740
20090611,11700
20090612,11680
20090615,11580
20090616,11300
20090617,11500
20090618,11300
20090619,11240
20090622,11500
20090623,11500
20090624,11600
20090625,11760
20090626,11920
20090629,11960
20090630,11840
20090701,12060
20090702,12040
20090703,12020
20090706,12680
20090707,13000
20090708,13100
20090709,13000
20090710,12900
20090713,12400
20090714,12680
20090715,13320
20090716,13480
20090717,13400
20090720,13800
20090721,13840
20090722,13760
20090723,13560
20090724,13660
20090727,13980
20090728,14000
20090729,13940
20090730,14280
20090731,14480
20090803,14300
20090804,14500
20090805,14660
20090806,14300
20090807,14320
20090810,14200
20090811,14100
20090812,13860
20090813,14040
20090814,14620
20090817,14260
20090818,14600
20090819,14760
20090820,14800
20090821,15140
20090824,15660
20090825,15500
20090826,15540
20090827,15340
20090828,15280
20090831,15420
20090901,15980
20090902,15680
20090903,15500
20090904,15340
20090907,15460
20090908,15620
20090909,15620
20090910,15820
20090911,15860
20090914,15280
20090915,15380
20090916,15900
20090917,16200
20090918,16120
20090921,15960
20090922,16500
20090923,16400
20090924,16060
20090925,15900
20090928,15920
20090929,16240
20090930,16300
20091001,15840
20091005,14940
20091006,14900
20091007,14440
20091008,14400
20091009,15100
20091012,14980
20091013,15140
20091014,15380
20091015,15500
20091016,14920
20091019,15020
20091020,15040
20091021,14700
20091022,14520
20091023,14900
20091026,15060
20091027,14840
20091028,14400
20091029,14360
20091030,14460
20091102,14360
20091103,14580
20091104,14660
20091105,14240
20091106,14440
20091109,14480
20091110,14540
20091111,14700
20091112,14400
20091113,14280
20091116,14660
20091117,14560
20091118,15000
20091119,15180
20091120,15100
20091123,15180
20091124,14840
20091125,14980
20091126,14860
20091127,14240
20091130,14400
20091201,14740
20091202,14940
20091203,15180
20091204,15240
20091207,15420
20091208,15440
20091209,15560
20091210,15760
20091211,15700
20091214,15580
20091215,15540
20091216,15600
20091217,15300
20091218,15460
20091221,15420
20091222,15620
20091223,15680
20091224,15800
20091228,15740
20091229,15720
20091230,15980
20100104,16180
20100105,16440
20100106,16820
20100107,16260
20100108,16420
20100111,15940
20100112,16180
20100113,15940
20100114,16540
20100115,16840
20100118,16860
20100119,16460
20100120,16680
20100121,17000
20100122,16500
20100125,16840
20100126,16300
20100127,16000
20100128,16160
20100129,15680
20100201,15540
20100202,15440
20100203,15540
20100204,15520
20100205,15000
20100208,14960
20100209,15220
20100210,15100
20100211,15260
20100212,15000
20100216,15120
20100217,15580
20100218,15500
20100219,15200
20100222,15460
20100223,15340
20100224,15040
20100225,14720
20100226,14880
20100302,15400
20100303,15420
20100304,15220
20100305,15500
20100308,15720
20100309,15720
20100310,15680
20100311,15560
20100312,15560
20100315,15360
20100316,15300
20100317,15960
20100318,15940
20100319,16080
20100322,16020
20100323,16180
20100324,16380
20100325,16380
20100326,16400
20100329,16360
20100330,16280
20100331,16360
20100401,16900
20100402,17140
20100405,17400
20100406,17380
20100407,17180
20100408,17260
20100409,17120
20100412,16600
20100413,16560
20100414,16900
20100415,17100
20100416,16960
20100419,16540
20100420,16560
20100421,17040
20100422,16820
20100423,16600
20100426,16680
20100427,16700
20100428,16500
20100429,16500
20100430,16980
20100503,16580
20100504,16680
20100506,16280
20100507,15880
20100510,16060
20100511,15820
20100512,15780
20100513,16260
20100514,16200
20100517,15680
20100518,15840
20100519,15460
20100520,15120
20100524,15160
20100525,14820
20100526,15000
20100527,15440
20100528,15560
20100531,15520
20100601,15360
20100603,15540
20100604,15860
20100607,15740
20100608,15700
20100609,15400
20100610,15460
20100611,15940
20100614,16140
20100615,15960
20100616,16380
20100617,16340
20100618,16440
20100621,16600
20100622,16320
20100623,16100
20100624,16400
20100625,16100
20100628,15920
20100629,15840
20100630,15480
20100701,15320
20100702,15340
20100705,15340
20100706,15500
20100707,15380
20100708,15500
20100709,15920
20100712,16040
20100713,15920
20100714,16480
20100715,16400
20100716,16040
20100719,15900
20100720,15960
20100721,16340
20100722,16160
20100723,16220
20100726,16360
20100727,16580
20100728,16740
20100729,16540
20100730,16200
20100802,16200
20100803,16300
20100804,16120
20100805,16080
20100806,16020
20100809,16040
20100810,15860
