date,open,high,low,close,volume,Name
2010-01-04,16060,16180,16000,16180,11963550,삼성전자
2010-01-05,16520,16580,16300,16440,27960950,삼성전자
2010-01-06,16580,16820,16520,16820,22987750,삼성전자
2010-01-07,16820,16820,16260,16260,22161850,삼성전자
2010-01-08,16400,16420,16120,16420,14789900,삼성전자
2010-01-11,16420,16460,15940,15940,19945050,삼성전자
2010-01-12,15940,16180,15900,16180,19223000,삼성전자
2010-01-13,16100,16120,15940,15940,13380950,삼성전자
2010-01-14,16120,16620,16000,16540,26635250,삼성전자
2010-01-15,16640,16860,16580,16840,19920050,삼성전자
2010-01-18,16800,16920,16560,16860,13084550,삼성전자
2010-01-19,17000,17000,16440,16460,12065400,삼성전자
2010-01-20,16460,16740,16460,16680,19215300,삼성전자
2010-01-21,16400,17000,16400,17000,17007400,삼성전자
2010-01-22,16800,16900,16360,16500,23526800,삼성전자
2010-01-25,16320,16960,16300,16840,20639850,삼성전자
2010-01-26,16920,16920,16240,16300,18760500,삼성전자
2010-01-27,16300,16340,16000,16000,18538000,삼성전자
2010-01-28,16160,16300,16060,16160,13830700,삼성전자
2010-01-29,16000,16020,15600,15680,22864250,삼성전자
2010-02-01,15680,15700,15300,15540,25052100,삼성전자
2010-02-02,15800,15800,15400,15440,19690150,삼성전자
2010-02-03,15640,15700,15360,15540,16511750,삼성전자
2010-02-04,15500,15660,15440,15520,11989950,삼성전자
2010-02-05,15160,15220,14940,15000,25751700,삼성전자
2010-02-08,14940,15080,14820,14960,21980400,삼성전자
2010-02-09,14960,15220,14840,15220,16872950,삼성전자
2010-02-10,15260,15280,15040,15100,13192300,삼성전자
2010-02-11,15140,15300,15120,15260,13252500,삼성전자
2010-02-12,15340,15340,14900,15000,22928700,삼성전자
2010-02-16,15000,15180,14960,15120,7738300,삼성전자
2010-02-17,15440,15580,15280,15580,14012300,삼성전자
2010-02-18,15580,15620,15440,15500,7255400,삼성전자
2010-02-19,15380,15540,15180,15200,11150000,삼성전자
2010-02-22,15440,15560,15400,15460,11593250,삼성전자
2010-02-23,15480,15480,15120,15340,12585850,삼성전자
2010-02-24,15180,15220,15000,15040,15071550,삼성전자
2010-02-25,15080,15160,14680,14720,19304650,삼성전자
2010-02-26,14800,14960,14660,14880,15596200,삼성전자
2010-03-02,15220,15480,15120,15400,23577600,삼성전자
2010-03-03,15420,15460,15260,15420,9730100,삼성전자
2010-03-04,15420,15440,15120,15220,10219400,삼성전자
2010-03-05,15260,15500,15260,15500,11764550,삼성전자
2010-03-08,15800,15840,15700,15720,19570150,삼성전자
2010-03-09,15740,15740,15540,15720,12214200,삼성전자
2010-03-10,15720,15740,15560,15680,11369150,삼성전자
2010-03-11,15800,15880,15560,15560,19640100,삼성전자
2010-03-12,15560,15680,15420,15560,10004000,삼성전자
2010-03-15,15640,15660,15280,15360,12585350,삼성전자
2010-03-16,15360,15400,15160,15300,16556850,삼성전자
